clco size threshold mincut
0.989744 40 0.5 139410
0.500444 346 0.5 139410
0.959048 82 0.5 139410
0.500435 322 0.5 139410
0.509374 362 0.5 139410
0.813361 121 0.5 139410
1 49 0.5 139410
0.511111 306 0.5 139410
0.522894 310 0.5 139410
0.748541 179 0.5 139410
0.700472 199 0.5 139410
0.501475 365 0.5 139410
0.854651 129 0.5 139410
0.593428 261 0.5 139410
0.501546 312 0.5 139410
